Client,Date démarrage mission,Date fin mission,Intitulé,Lieu,Descriptif 5 lignes
Conseil régional PACA,1/1/2015,30/6/2016,La  région  Provence-Alpes-Côte d’Azur  face  aux  mutations  sociétales : enjeux et perspectives du vivre-ensemble au début du XXIème siècle,Marseille,"Dans le cadre d'un marché de prospective portant sur les mutations sociétales du vivre-ensemble en région PACA, Joël Gombin a assuré les analyses de données quantitatives (retraitement des fichiers détails du recensement de la population notamment), a créé les datavisualisations et a participé à la rédaction de l'étude."
Open Data France,17/10/2016,16/11/2016,Formation à la data science,Paris,"Formation d'agents de collectivités territoriales aux bases de l'analyse et de la visualisation de données avec R. L'objectif est à la fois de permettre l'acquisition de compétences de manipulation de données utiles dans les missions d'ouverture des données publiques de ces agents, et de leur permettre de pouvoir discuter en connaissance de cause avec des collègues, des partenaires, des fournisseurs..."
Open Government Partnership,01/11/2016,30/06/3017,Evaluation indépendante de la mise en oeuvre du plan d'action de la France,Paris,"Évaluation indépendante, pour le compte de l'Independant Research Mechanism du Partenariat pour un Gouvernement Ouvert (PGO), des engagements du plan d'action de la France. Recherche documentaire, entretiens avec les acteurs, fact finding et checking."
Open Contracting Partnership,20/11/2016,15/12/2016,Traduction du standard Open Contracting Data Standard en français,Aix-en-Provence,"Traduction de l'anglais vers le français de l'Open Contracting Data Standard, standard de données pour l'ouverture des données de la commande publique créé, soutenu et promu par l'Open Contracting Partnership."
CFI Medias,6/12/2016,6/12/2016,Intervention masterclass sur l'open data durant le sommet du PGO,Paris,"Intervention dans une masterclass sur l'open data  organisée par CFI Medias pour les datajournalistes et datactivistes africains dans le cadre du Partenariat pour un gouvernement ouvert, animée par Sylvain Lapoix."
Ville de Marseille,10/01/2017,17/01/2017,Formation big data,Marseille,"Formation des agents de la DSI de la Ville de Marseille à la culture générale de la donnée, et en particulier aux enjeux du big data et du machine learning. Trois journées de formation théorique."
Angie,26/01/2017,31/01/2017,Conseil architecture de collectes de données big data,Paris,Conseil sur la mise en place opérationnelle d'une architecture informatique de collecte massive de données issues des médias sociaux. 
Région Ile de France,5/12/2016,16/03/2017,Animation des ateliers Wedata à l'Institut d'Urbanisme et d'Aménagement (IAU),Paris,"Accompagnement d'équipes de l'Institut d'Aménagement et d'Urbanisme (IAU) d'Île-de-France durant les ateliers Wedata. Conseils en réutilisations de données ouvertes, animation, mini-formations à R et à la datavisualisation."
Grand Poitiers,19/01/2016,15/06/2016,"Interventions dans l'Infolab interne (données crowdsourcées, open government, data visualisation, marchés publics…) ",Poitiers,"Interventions ponctuelles dans l'Infolab interne du Grand Poitiers sur différents sujets : données crowdsourcées, open government, datavisualisation, ouverture des données des marchés publics."
Ville de Marseille,12/04/2017,14/06/2017,Formation big data,Marseille,"Formation de l'état major de la DSI de la Ville de Marseille à la culture générale de la donnée, et en particulier aux enjeux du big data et du machine learning. Deux demi-journées de formation théorique."
CLEO / OpenEdition,01/12/2017,30/06/2017,Formation data science + animation vendredis de la donnée,Marseille,"Formation d'une équipe projet à R et la data science, et accompagnement à raison d'un séminaire d'un jour par mois afin de consolider les compétences acquises. Conseil et accompagnement de la démarche R & D ""OpenEditionLabs"" du CLEO."
CAF de Paris,24/11/2016,30/06/2017,Organisation d'expéditions de données avec les bénéficiaires de la CAF,Paris,"Organisation, avec l'École des Données, de trois expéditions de données - dispositif de médiations de données, en direction d'un public très éloigné de la littératie de données - pour le compte de la CAF de Paris. Chaque expédition de données porte sur un thème donné (inclusion numérique, parentalité, relations parents-école) et concerne un territoire donné (dans les 13e, 15e et 18e arrondissements). "
